amount,previous_attempts,previous_successful_payments,previous_failed_payments,checkout_abandonment_minutes,hour_of_day,is_temporary_failure,failure_reason,recovered
14270,3,3,2,1,0,0,checkout_abandoned,0
5750,2,2,1,0,16,1,network_error,1
5000,3,2,1,0,9,0,card_declined,0
5000,2,1,0,1,1,0,card_declined,0
5000,2,1,0,0,16,0,insufficient_funds,0
5000,1,1,1,10,9,1,network_error,0
5000,1,2,1,1,12,0,insufficient_funds,1
28794,3,3,0,5,6,0,insufficient_funds,0
5598,3,3,1,2,10,1,network_error,1
13131,3,1,0,0,4,0,checkout_abandoned,0
5000,3,0,0,5,4,1,temporary,1
5000,1,3,1,5,16,0,checkout_abandoned,1
5000,2,1,1,1,19,1,network_error,1
5000,2,2,1,5,3,0,checkout_abandoned,1
41293,3,0,1,30,3,1,network_error,0
5000,2,2,1,0,13,0,card_declined,1
11367,3,2,1,30,13,1,temporary,1
5000,3,1,0,0,9,0,checkout_abandoned,0
12476,3,2,0,0,23,0,insufficient_funds,0
7222,3,1,0,1,23,1,network_error,1
5000,3,3,0,10,15,0,insufficient_funds,1
5000,1,5,1,5,21,1,temporary,1
5000,2,4,1,0,10,0,insufficient_funds,0
7677,2,2,0,30,0,0,card_declined,0
5000,1,1,0,30,2,0,checkout_abandoned,0
5000,2,2,1,30,19,0,card_declined,0
5000,2,1,1,2,3,1,network_error,1
5840,2,1,1,5,4,0,insufficient_funds,1
23839,1,2,2,2,16,0,insufficient_funds,1
5767,2,1,1,1,11,0,checkout_abandoned,1
5000,2,0,1,2,5,0,insufficient_funds,0
6540,1,1,1,0,19,0,checkout_abandoned,1
18142,2,0,0,0,17,0,insufficient_funds,0
6120,1,5,1,2,6,0,insufficient_funds,1
5000,1,4,0,1,4,0,checkout_abandoned,1
14857,2,4,0,1,17,0,insufficient_funds,1
7545,2,1,3,30,5,0,card_declined,0
22828,3,1,0,5,5,1,temporary,0
5903,1,2,0,0,21,1,network_error,1
5000,2,2,3,30,20,1,temporary,0
5000,3,1,3,10,23,1,network_error,0
25614,1,3,0,0,10,1,temporary,0
27547,3,2,2,10,17,0,insufficient_funds,0
5000,3,3,0,0,4,1,network_error,1
5000,3,0,3,0,23,1,network_error,0
21193,3,0,2,2,1,0,checkout_abandoned,0
5000,1,2,0,30,20,0,card_declined,1
5000,2,2,0,0,14,0,insufficient_funds,1
9351,3,0,4,2,22,1,temporary,0
5000,1,1,1,0,16,0,insufficient_funds,1
5000,2,1,2,0,4,0,checkout_abandoned,0
5000,3,2,0,2,16,1,temporary,0
6888,3,3,0,0,17,1,temporary,0
20080,2,4,2,0,11,0,insufficient_funds,0
5380,3,1,1,0,14,0,insufficient_funds,0
9357,3,1,0,1,9,0,insufficient_funds,1
5000,1,1,1,0,6,1,network_error,0
5000,1,1,0,30,14,1,network_error,1
5000,3,4,1,1,12,1,temporary,0
5000,1,1,0,1,0,1,network_error,1
5000,1,4,0,0,18,0,insufficient_funds,0
5000,2,2,2,0,5,0,insufficient_funds,1
12282,3,1,1,0,1,0,card_declined,0
5000,3,3,0,10,6,1,temporary,1
5067,1,1,0,2,21,0,checkout_abandoned,0
5000,2,1,1,0,18,0,card_declined,0
5000,3,4,2,0,10,1,temporary,0
13396,1,1,1,0,10,0,checkout_abandoned,0
8417,2,2,1,0,10,0,card_declined,1
18720,2,1,0,30,1,1,temporary,1
5000,3,0,1,0,8,0,card_declined,0
5000,3,2,2,10,21,1,temporary,1
5000,3,4,0,1,15,1,temporary,1
6263,1,1,2,0,9,0,card_declined,0
5863,2,2,2,0,23,1,temporary,0
5000,3,3,0,5,1,1,temporary,1
5380,2,3,2,5,20,0,card_declined,0
6174,3,0,0,1,10,0,insufficient_funds,0
60929,2,4,1,30,12,1,network_error,1
32107,2,1,1,30,22,1,temporary,1
5000,1,3,2,10,22,0,insufficient_funds,0
5000,3,2,2,2,19,1,temporary,0
5000,3,0,0,2,12,1,network_error,0
5000,3,2,0,5,14,0,card_declined,0
6738,1,2,0,2,21,1,temporary,1
16413,1,1,2,0,18,0,checkout_abandoned,0
5000,1,5,0,5,7,0,insufficient_funds,1
5000,1,2,0,0,12,1,network_error,1
5000,1,3,2,5,19,0,insufficient_funds,0
5000,1,2,2,0,19,1,temporary,0
5000,3,3,0,0,7,0,checkout_abandoned,0
5000,1,3,2,2,20,1,network_error,1
5000,2,4,2,10,13,0,checkout_abandoned,0
5000,2,2,2,2,8,1,temporary,0
5000,2,2,1,0,11,1,network_error,0
5000,3,2,1,0,10,1,temporary,0
41325,1,3,0,1,1,0,insufficient_funds,1
5000,3,2,1,0,5,0,card_declined,0
5000,3,1,0,30,3,1,temporary,0
30850,1,0,0,1,16,0,checkout_abandoned,1
89775,3,3,3,30,10,1,network_error,0
5000,2,3,2,0,3,0,checkout_abandoned,0
5000,3,2,0,1,14,1,network_error,0
6915,1,4,0,10,11,0,insufficient_funds,1
27686,1,1,0,0,16,0,checkout_abandoned,0
5000,2,2,1,10,23,0,checkout_abandoned,0
5000,3,1,1,10,23,0,insufficient_funds,0
10692,1,1,1,2,11,0,card_declined,1
7591,3,2,1,0,0,0,checkout_abandoned,1
5000,3,3,0,30,1,0,checkout_abandoned,1
5000,2,4,1,1,3,0,card_declined,1
5000,3,1,0,2,0,0,checkout_abandoned,1
5000,3,0,0,5,15,1,temporary,1
5000,1,1,0,1,22,0,insufficient_funds,0
6199,3,3,0,0,18,0,checkout_abandoned,0
5000,3,0,1,2,16,1,network_error,0
7875,1,2,1,2,7,0,checkout_abandoned,1
13530,2,2,1,0,17,0,insufficient_funds,0
5741,2,3,1,0,12,1,temporary,1
6986,3,1,1,0,8,0,checkout_abandoned,0
5183,3,2,0,0,1,0,insufficient_funds,0
5000,2,2,0,2,12,0,card_declined,0
5000,1,3,0,2,10,1,network_error,1
6744,1,3,3,0,13,1,network_error,0
5000,1,3,0,10,11,0,card_declined,1
39861,2,3,1,10,18,1,network_error,0
23702,3,3,0,0,21,0,card_declined,0
7228,1,1,1,0,12,0,insufficient_funds,0
5000,3,2,3,10,8,1,network_error,1
5000,2,2,0,1,7,0,checkout_abandoned,1
16173,1,1,2,1,21,1,network_error,0
6391,1,0,4,1,12,0,card_declined,0
7943,1,0,2,30,23,0,card_declined,0
5000,3,2,1,0,16,1,temporary,0
12424,1,1,1,30,13,0,card_declined,0
7742,3,1,1,0,1,1,temporary,1
5000,2,0,0,30,17,0,checkout_abandoned,1
5000,1,0,2,1,11,0,checkout_abandoned,0
6397,1,3,1,10,2,1,network_error,1
5179,2,3,0,0,8,1,network_error,1
5000,2,6,0,0,10,1,network_error,1
5000,3,1,3,0,21,0,checkout_abandoned,0
5000,2,1,1,2,15,0,checkout_abandoned,1
5724,1,1,1,0,9,1,temporary,1
21407,1,0,0,1,23,1,temporary,1
5000,2,2,2,2,15,1,temporary,1
5000,2,4,1,1,23,0,card_declined,0
5863,3,0,1,10,10,1,network_error,0
6607,3,2,1,2,20,1,network_error,0
5000,2,2,2,10,19,1,network_error,1
5000,2,1,0,2,17,0,card_declined,0
6822,3,0,1,0,22,0,checkout_abandoned,0
27649,1,5,0,0,13,0,checkout_abandoned,1
5000,2,1,1,5,2,1,network_error,1
11658,1,3,1,30,9,0,checkout_abandoned,1
5000,2,0,0,30,0,0,insufficient_funds,1
5000,3,4,0,0,6,0,checkout_abandoned,0
5000,1,3,0,1,16,0,checkout_abandoned,1
5000,1,2,1,2,3,1,temporary,1
18034,1,0,2,30,15,0,insufficient_funds,0
8801,1,1,0,0,15,0,insufficient_funds,1
27786,1,4,0,10,13,0,checkout_abandoned,0
15953,3,1,1,10,16,0,insufficient_funds,0
7624,3,1,1,0,10,1,temporary,0
28111,2,0,1,0,15,1,network_error,0
7623,3,0,1,1,17,0,insufficient_funds,0
11248,3,0,0,10,14,1,network_error,1
5000,3,5,2,30,16,0,card_declined,0
5252,3,4,0,0,18,0,insufficient_funds,1
5000,1,3,2,0,9,0,checkout_abandoned,1
13221,2,3,0,1,21,1,temporary,1
5000,2,0,1,0,7,0,insufficient_funds,1
10746,2,1,0,2,1,0,checkout_abandoned,1
5000,3,1,0,0,23,0,insufficient_funds,1
15855,1,2,1,1,20,1,temporary,1
10413,3,2,0,0,9,1,network_error,1
30352,3,0,0,0,5,0,card_declined,0
10206,1,2,0,0,5,0,insufficient_funds,0
5000,2,3,1,0,13,0,insufficient_funds,0
5000,3,4,0,1,23,0,checkout_abandoned,1
5000,1,1,3,0,7,0,checkout_abandoned,1
5000,1,0,1,10,16,1,temporary,0
22275,3,2,1,1,8,0,insufficient_funds,1
9297,1,2,0,0,13,1,temporary,0
5000,3,2,0,2,15,1,temporary,1
5000,3,3,1,10,18,1,network_error,0
5078,2,0,1,1,17,0,insufficient_funds,0
5000,2,0,3,30,5,0,checkout_abandoned,1
5000,2,2,1,0,2,0,insufficient_funds,0
6714,2,3,0,1,13,0,card_declined,0
15604,2,1,0,1,9,1,temporary,1
9034,2,1,1,30,6,1,network_error,1
5000,3,0,0,5,4,0,insufficient_funds,1
6663,3,0,0,2,20,0,checkout_abandoned,0
5281,3,3,1,0,2,1,temporary,1
7434,1,1,1,0,3,1,temporary,0
24740,1,3,1,30,8,0,card_declined,0
5000,3,2,0,0,5,0,checkout_abandoned,1
5000,2,2,1,5,1,1,network_error,1
8874,2,3,1,2,5,0,insufficient_funds,1
5000,1,3,1,5,8,0,checkout_abandoned,1
21503,1,2,2,30,10,0,card_declined,1
7103,1,4,0,0,12,0,insufficient_funds,1
11459,2,2,1,0,3,1,network_error,1
5000,2,2,2,0,23,0,insufficient_funds,0
11089,2,1,3,2,13,0,card_declined,0
14306,1,3,0,0,9,0,checkout_abandoned,1
6203,1,2,2,10,17,1,network_error,1
6213,3,0,0,2,22,0,card_declined,0
6440,2,2,0,30,0,1,temporary,1
5000,1,0,0,0,12,0,insufficient_funds,1
5000,2,2,0,30,21,0,card_declined,1
5000,2,3,1,1,5,1,network_error,1
7211,2,1,1,0,20,1,temporary,1
13357,1,1,0,10,14,0,checkout_abandoned,0
5000,3,1,1,0,1,0,checkout_abandoned,1
5000,1,1,1,5,20,0,card_declined,1
21621,3,2,0,0,1,0,card_declined,0
5000,2,2,1,5,17,0,insufficient_funds,0
5000,2,1,0,0,13,1,temporary,0
6016,2,1,1,0,19,1,network_error,0
11434,2,2,0,10,7,0,insufficient_funds,0
5000,2,3,0,0,2,0,insufficient_funds,1
18563,2,2,1,5,11,1,network_error,0
11577,1,3,1,0,17,0,card_declined,1
11405,2,1,0,30,13,1,temporary,1
8553,1,5,1,2,2,0,insufficient_funds,1
50395,1,5,1,1,15,1,network_error,1
5000,3,0,0,30,9,0,checkout_abandoned,1
5000,1,1,1,1,17,1,network_error,1
24446,2,1,2,0,22,1,temporary,0
5000,1,6,0,0,20,0,card_declined,0
5474,2,2,0,5,23,1,temporary,0
18206,2,2,0,1,14,1,network_error,0
5000,1,0,0,2,17,0,card_declined,1
5000,3,2,0,10,2,1,temporary,1
5000,1,1,1,5,4,1,network_error,0
5000,2,1,0,5,3,0,checkout_abandoned,1
7628,2,1,0,2,17,1,network_error,1
8301,2,5,1,10,14,1,network_error,0
6478,2,0,4,5,22,0,card_declined,0
5000,2,1,0,10,17,1,network_error,0
5000,1,2,1,5,20,0,checkout_abandoned,0
5189,3,2,0,0,18,0,card_declined,1
5000,1,2,2,30,15,1,network_error,0
7780,2,0,0,0,12,0,insufficient_funds,1
9916,2,0,1,5,3,1,temporary,0
5643,2,0,1,5,14,0,insufficient_funds,0
10510,1,0,0,5,12,0,card_declined,1
6180,3,1,0,1,23,1,temporary,1
8350,2,7,1,1,21,1,network_error,1
5000,1,2,1,0,8,0,card_declined,0
5000,1,0,0,0,4,1,temporary,1
5983,2,1,0,0,5,0,insufficient_funds,0
11164,2,1,0,30,11,0,checkout_abandoned,0
5000,2,2,1,30,23,1,temporary,0
8276,3,1,1,0,20,1,network_error,1
5000,3,2,1,10,22,1,temporary,0
5000,3,0,0,5,5,1,temporary,1
11265,3,1,0,0,0,0,insufficient_funds,1
5000,3,3,0,0,16,1,network_error,1
5000,3,3,0,5,9,0,card_declined,1
5000,2,1,0,0,11,1,network_error,1
5000,2,0,1,0,17,1,temporary,0
5000,2,2,3,0,23,0,checkout_abandoned,0
10398,1,6,0,0,4,0,insufficient_funds,1
5000,3,0,1,0,14,0,checkout_abandoned,0
5989,2,1,1,0,0,1,temporary,1
14606,2,2,0,10,12,1,network_error,1
18540,3,1,0,0,0,0,card_declined,0
5000,3,2,0,0,19,0,checkout_abandoned,0
19026,3,1,2,30,13,0,checkout_abandoned,0
5389,3,1,0,1,6,0,card_declined,0
5000,3,2,1,0,5,1,temporary,1
5000,1,2,0,2,15,0,checkout_abandoned,0
5000,1,2,0,2,6,0,card_declined,1
5000,1,1,1,1,9,0,insufficient_funds,0
5000,3,4,0,10,0,1,network_error,1
10977,3,3,0,5,8,0,insufficient_funds,1
27467,3,4,1,0,17,0,checkout_abandoned,0
5000,3,3,2,0,1,0,card_declined,0
7279,3,1,0,2,20,0,insufficient_funds,0
5000,3,1,0,5,6,0,insufficient_funds,1
7900,3,2,2,1,17,1,network_error,1
5000,1,2,3,1,3,0,insufficient_funds,0
5000,2,1,2,0,3,0,card_declined,0
12435,2,2,2,2,20,0,card_declined,0
5000,2,1,1,0,22,0,card_declined,0
5000,2,1,0,1,6,1,network_error,1
5000,1,3,0,10,23,0,checkout_abandoned,1
5000,1,2,3,30,19,1,network_error,0
7539,1,1,1,1,6,0,insufficient_funds,0
5000,1,2,3,0,19,0,insufficient_funds,1
6827,3,2,1,0,23,0,insufficient_funds,0
7058,2,0,1,10,7,1,network_error,1
18410,3,0,0,1,10,0,checkout_abandoned,0
5000,3,2,1,0,6,0,insufficient_funds,0
5000,3,4,1,10,1,1,temporary,0
14288,1,1,0,1,22,0,insufficient_funds,1
5000,2,2,0,5,13,0,card_declined,0
14981,1,1,0,0,4,0,insufficient_funds,0
7211,1,3,0,30,12,0,checkout_abandoned,1
5000,1,2,1,0,18,1,network_error,0
6965,1,1,0,10,20,0,checkout_abandoned,1
34579,1,0,2,0,18,0,checkout_abandoned,0
39221,3,3,1,0,8,1,network_error,1
5267,2,1,0,1,22,1,network_error,1
5768,2,1,0,0,18,0,card_declined,0
14418,2,3,0,2,10,1,network_error,1
5000,3,3,1,1,18,1,temporary,1
6857,1,2,1,0,23,0,insufficient_funds,1
5000,2,3,0,1,0,0,insufficient_funds,0
6727,1,1,0,2,14,0,insufficient_funds,0
5000,2,1,1,2,16,0,insufficient_funds,1
5000,2,1,1,0,20,1,temporary,0
5000,3,3,0,5,11,0,card_declined,1
5000,2,2,2,0,8,0,card_declined,1
5000,1,3,0,0,4,0,checkout_abandoned,1
5000,2,1,3,10,9,0,checkout_abandoned,1
34106,3,2,2,30,10,1,temporary,0
14853,2,0,1,0,19,0,card_declined,0
5000,2,3,0,1,20,0,checkout_abandoned,1
6958,1,1,1,0,12,0,insufficient_funds,0
5000,1,1,0,5,16,0,card_declined,1
5000,1,2,2,2,17,0,insufficient_funds,0
5915,1,4,0,1,15,1,temporary,1
9128,2,0,0,5,18,0,card_declined,0
5000,3,4,0,5,1,0,checkout_abandoned,1
14240,2,1,1,30,11,0,card_declined,1
5000,2,2,1,30,16,0,checkout_abandoned,1
5000,3,4,3,1,12,0,insufficient_funds,0
66017,3,3,2,0,18,0,checkout_abandoned,0
6143,2,2,0,30,7,1,temporary,1
20603,3,4,1,1,22,0,checkout_abandoned,1
5385,1,1,1,30,2,1,network_error,0
8784,2,2,0,5,19,1,network_error,1
5000,2,2,1,2,17,1,temporary,0
5000,3,3,0,10,1,1,network_error,0
5000,2,0,2,10,5,0,insufficient_funds,0
7557,3,1,0,5,22,1,network_error,1
5000,1,1,2,2,16,1,temporary,0
9562,1,0,0,0,19,1,network_error,0
14549,3,2,1,0,20,1,temporary,0
7090,3,5,3,5,0,0,checkout_abandoned,0
5000,3,0,0,1,20,0,insufficient_funds,0
7738,1,1,1,2,17,0,card_declined,1
5000,1,5,0,5,5,0,checkout_abandoned,1
12525,1,2,0,0,7,1,network_error,1
5000,2,2,1,0,9,0,checkout_abandoned,0
5000,2,2,0,2,14,0,insufficient_funds,1
5000,3,2,0,30,6,1,network_error,1
5000,3,2,1,2,6,0,insufficient_funds,0
19222,3,0,2,5,12,0,checkout_abandoned,0
12030,1,2,2,0,17,1,network_error,0
5000,1,2,0,0,10,1,network_error,1
5000,2,1,2,0,4,0,checkout_abandoned,0
5000,2,2,3,30,2,1,network_error,0
5000,3,1,1,10,20,0,card_declined,1
55293,1,1,0,0,11,1,temporary,1
7592,1,3,0,0,1,0,insufficient_funds,1
5000,1,3,0,10,8,0,checkout_abandoned,1
7825,3,3,2,0,0,1,temporary,0
5000,3,4,0,0,4,1,network_error,1
5000,3,1,3,5,3,0,insufficient_funds,1
5428,2,3,0,0,22,0,card_declined,0
5000,1,0,3,0,9,0,card_declined,0
10837,3,1,0,2,4,1,network_error,0
6937,1,0,0,0,15,0,insufficient_funds,0
9588,1,2,0,30,23,0,card_declined,0
5000,3,2,1,30,11,1,temporary,0
12062,2,1,1,10,4,1,temporary,1
25057,1,1,0,2,11,1,network_error,1
5000,2,1,1,2,14,0,insufficient_funds,1
5000,1,1,2,0,20,1,temporary,0
18690,1,1,0,0,3,0,checkout_abandoned,1
5000,3,0,2,0,13,0,checkout_abandoned,0
20006,1,2,0,0,1,1,temporary,1
5000,3,1,0,0,12,0,card_declined,1
21058,2,1,1,5,0,1,network_error,1
5605,2,2,0,5,10,1,temporary,1
6362,3,1,0,5,11,0,card_declined,1
23499,2,3,1,0,23,0,insufficient_funds,1
5000,1,2,0,0,4,0,card_declined,1
5000,3,0,1,0,5,0,checkout_abandoned,0
5000,2,1,0,10,13,0,insufficient_funds,0
7725,2,5,0,30,3,0,insufficient_funds,1
5000,2,0,0,0,1,0,checkout_abandoned,0
9297,2,3,0,5,11,0,checkout_abandoned,1
5000,2,4,0,30,5,0,card_declined,1
15487,3,4,0,10,16,0,checkout_abandoned,1
5000,1,4,2,0,2,1,network_error,1
5000,2,1,1,5,0,0,checkout_abandoned,0
5000,2,3,1,10,5,0,insufficient_funds,0
5000,2,3,0,30,20,1,network_error,0
6295,1,1,0,5,13,1,temporary,1
5000,2,2,0,0,6,1,network_error,1
5000,1,2,0,5,14,0,card_declined,0
5000,2,2,0,0,15,1,temporary,1
6023,3,2,1,0,10,0,card_declined,1
5000,2,3,0,0,4,0,checkout_abandoned,1
9965,3,2,1,2,8,1,network_error,0
9534,2,4,0,0,20,0,checkout_abandoned,1
7223,1,3,1,0,16,0,card_declined,0
8574,2,1,1,10,8,1,network_error,0
6610,1,2,0,1,21,0,checkout_abandoned,1
37611,3,2,3,2,4,0,insufficient_funds,0
5000,3,0,2,1,4,0,insufficient_funds,0
5000,2,1,3,0,0,1,network_error,0
5000,3,3,5,2,2,0,card_declined,0
5000,1,2,2,0,7,0,checkout_abandoned,0
5000,1,0,1,5,1,1,temporary,1
5000,1,3,1,5,9,1,temporary,1
5000,2,5,1,5,1,0,insufficient_funds,1
6865,1,5,1,1,0,0,insufficient_funds,1
5172,2,1,1,1,13,1,network_error,1
5000,3,3,2,10,13,0,card_declined,0
12090,2,0,1,1,19,1,temporary,0
10294,2,1,2,30,10,1,network_error,0
5000,1,5,0,5,20,1,temporary,1
5000,1,2,1,10,11,0,checkout_abandoned,0
8505,3,4,1,5,6,1,network_error,1
5931,3,3,2,0,3,0,card_declined,0
5000,1,2,1,1,11,1,network_error,1
5000,1,1,1,5,9,0,card_declined,0
6387,3,3,0,2,12,0,card_declined,1
5000,1,4,1,2,23,1,temporary,1
5942,2,1,0,30,1,0,insufficient_funds,1
5000,3,2,1,10,8,0,card_declined,1
18698,3,3,0,0,3,0,card_declined,0
17119,2,2,0,0,19,1,temporary,1
5000,2,1,0,0,12,1,temporary,1
7068,3,3,0,5,2,0,card_declined,1
5000,3,2,0,1,19,1,temporary,1
5000,3,4,0,2,2,0,card_declined,0
5000,2,4,1,10,18,0,insufficient_funds,0
5000,3,2,3,1,23,1,network_error,0
10040,3,2,0,5,12,1,network_error,1
36217,1,3,1,0,15,0,checkout_abandoned,1
5000,1,3,2,10,0,0,card_declined,0
5000,3,2,0,0,15,1,network_error,0
6219,1,1,2,2,3,0,checkout_abandoned,1
24615,3,2,1,10,10,0,insufficient_funds,0
5000,2,3,0,5,12,0,card_declined,0
6304,1,4,1,0,18,0,checkout_abandoned,1
30372,2,1,1,10,18,0,insufficient_funds,1
5000,3,4,2,1,22,0,checkout_abandoned,0
5000,3,3,2,2,18,0,insufficient_funds,1
5000,2,4,0,1,1,0,insufficient_funds,0
5000,1,2,1,0,16,0,insufficient_funds,0
11076,3,2,0,0,4,1,temporary,0
6258,3,8,1,30,22,1,temporary,1
